codec,score
npz_1,1634
zfile_1,1903
zfile_9,1975
zfile_3,2009
zfile_7,2024
zfile_5,2099
tables_zlib_7,2299
tables_zlib_5,2312
tables_zlib_9,2348
tables_zlib_1,2637
tables_blosc_zlib_9,2670
tables_blosc_zlib_7,2675
tables_zlib_3,2685
tables_blosc_zlib_5,2739
tables_blosc_zlib_1,3152
tables_blosc_zlib_3,3184
bloscpack_zlib_9,3280
bloscpack_zlib_7,3293
tables_lzo_5,3315
tables_blosc_snappy_1,3329
tables_lzo_1,3334
tables_lzo_7,3345
tables_lzo_9,3357
tables_lzo_3,3357
tables_blosc_snappy_3,3382
tables_blosc_snappy_5,3464
tables_blosc_snappy_9,3528
tables_blosc_snappy_7,3537
tables_blosc_blosclz_1,3594
tables_blosc_blosclz_7,3648
tables_blosc_blosclz_3,3677
tables_blosc_blosclz_9,3709
tables_blosc_blosclz_5,3786
tables_blosc_lz4hc_1,3827
tables_blosc_lz4_1,4033
tables_blosc_lz4_3,4052
tables_blosc_lz4hc_3,4067
tables_blosc_lz4hc_9,4102
tables_blosc_lz4_5,4135
tables_blosc_lz4_7,4145
tables_blosc_lz4hc_7,4216
tables_blosc_lz4_9,4248
tables_blosc_lz4hc_5,4252
bloscpack_lz4hc_9,4770
bloscpack_lz4hc_7,4790
bloscpack_blosclz_1,4828
bloscpack_snappy_3,5000
bloscpack_snappy_1,5008
bloscpack_zlib_5,5084
bloscpack_blosclz_3,5148
bloscpack_snappy_5,5255
bloscpack_zlib_1,5397
bloscpack_zlib_3,5413
bloscpack_snappy_9,5564
bloscpack_lz4_3,5606
bloscpack_lz4_1,5634
bloscpack_snappy_7,5653
bloscpack_lz4hc_1,5709
bloscpack_blosclz_5,5719
bloscpack_blosclz_9,5816
bloscpack_lz4_5,5899
bloscpack_lz4hc_5,5978
bloscpack_lz4hc_3,6005
bloscpack_blosclz_7,6221
bloscpack_lz4_9,6228
bloscpack_lz4_7,6238
