codec,score
tables_zlib_7,623
npz_1,642
tables_zlib_9,645
tables_zlib_5,687
tables_blosc_zlib_9,968
zfile_9,970
tables_blosc_zlib_7,989
zfile_7,1040
tables_blosc_zlib_5,1059
zfile_3,1143
zfile_5,1150
zfile_1,1163
tables_zlib_1,1292
tables_zlib_3,1295
bloscpack_zlib_9,1403
bloscpack_zlib_7,1433
tables_blosc_zlib_3,1860
tables_blosc_zlib_1,1897
tables_lzo_5,2443
tables_lzo_1,2445
tables_0,2479
tables_lzo_7,2495
tables_lzo_9,2505
tables_lzo_3,2505
tables_blosc_blosclz_7,2584
tables_blosc_blosclz_9,2605
tables_blosc_blosclz_1,2885
tables_blosc_blosclz_3,2935
tables_blosc_lz4hc_1,2992
tables_blosc_lz4hc_9,2993
tables_blosc_blosclz_5,2995
tables_blosc_snappy_9,3021
tables_blosc_snappy_7,3073
tables_blosc_lz4hc_3,3078
tables_blosc_lz4hc_7,3124
tables_blosc_snappy_5,3135
tables_blosc_snappy_1,3148
tables_blosc_lz4hc_5,3173
tables_blosc_snappy_3,3199
bloscpack_lz4hc_9,3319
bloscpack_zlib_5,3328
bloscpack_lz4hc_7,3349
npy_0,3429
tables_blosc_lz4_7,3533
tables_blosc_lz4_9,3552
tables_blosc_lz4_5,3643
tables_blosc_lz4_1,3656
tables_blosc_lz4_3,3681
bloscpack_zlib_3,3964
bloscpack_zlib_1,4031
bloscpack_lz4hc_5,4673
bloscpack_lz4hc_1,4743
bloscpack_blosclz_1,4822
bloscpack_lz4hc_3,4861
bloscpack_snappy_3,4909
bloscpack_snappy_1,4912
bloscpack_blosclz_9,4915
bloscpack_snappy_9,4986
bloscpack_snappy_5,4994
bloscpack_blosclz_3,5047
bloscpack_snappy_7,5138
bloscpack_blosclz_7,5252
bloscpack_lz4_9,5292
bloscpack_lz4_3,5342
bloscpack_blosclz_5,5358
bloscpack_lz4_1,5363
bloscpack_lz4_7,5469
bloscpack_lz4_5,5508
