id,size,storage,complexity,codec,level,compress,decompress,dc_no_cache,ratio
0,mid,esb,arange,tables_zlib,3,0.07227953275044759,0.018749475479125977,0.029623905817667644,109.0698787160124
1,mid,esb,arange,tables_zlib,1,0.06988310813903809,0.018664995829264324,0.02958957354227702,109.0698787160124
2,mid,esb,poisson,tables_blosc_lz4,5,0.05451806386311849,0.00796802838643392,0.018930753072102863,8.669363606524577
3,small,ephemeral,neuronal,tables_blosc_zlib,7,0.07212004661560059,0.005646419525146484,0.010072422027587891,2.36477340640258
4,large,esb,poisson,tables_blosc_zlib,5,1.3562689622243245,0.38781293233235675,0.39761972427368164,16.127321085455378
5,mid,ephemeral,poisson,tables_blosc_blosclz,7,0.15265695254007974,0.031057278315226238,0.0427243709564209,15.608780177020659
6,large,ephemeral,linspace,tables_blosc_lz4,7,0.1646448771158854,0.15771897633870444,0.16533366839090982,20.387737523745084
7,small,ephemeral,linspace,bloscpack_lz4,5,0.024765634536743165,0.0005815029144287109,0.0018714427947998046,10.543220552008446
8,large,ephemeral,poisson,tables_lzo,9,0.2730672359466553,0.34603508313496906,0.35741090774536133,10.126100161841691
9,small,esb,bitcoin,tables_blosc_lz4,9,0.04302668571472168,0.0022674560546875,0.0074695110321044925,1.4028054074663705
10,mid,ephemeral,poisson,bloscpack_blosclz,5,0.0376286506652832,0.0019658406575520835,0.009023030598958334,7.578617488605794
11,large,esb,linspace,tables_blosc_lz4hc,9,0.39719104766845703,0.14701135953267416,0.15604519844055176,43.42922274573733
12,mid,ephemeral,linspace,npy,0,0.0950299898783366,0.001875003178914388,0.04054339726765951,0.999992370663676
13,large,ephemeral,linspace,bloscpack_snappy,9,0.12182807922363281,0.08273673057556152,0.0869285265604655,14.373497985799986
14,small,esb,linspace,bloscpack_lz4,9,0.028716135025024413,0.0005221843719482421,0.0019414424896240234,24.734066141435108
15,large,esb,linspace,bloscpack_blosclz,3,0.5772081216176351,0.07829682032267253,0.30326024691263836,2.240447576717589
16,mid,esb,neuronal,zfile,9,4.476474285125732,0.04391026496887207,0.06661645571390788,2.3789030977493826
17,mid,ephemeral,neuronal,tables_blosc_lz4hc,5,0.32866589228312176,0.009231249491373697,0.031162818272908527,1.9204291193240872
18,mid,ephemeral,poisson,bloscpack_lz4,1,0.03915707270304362,0.002569993336995443,0.009157419204711914,8.134120647765743
19,large,ephemeral,neuronal,tables_blosc_lz4,7,0.6500245730082194,0.18711558977762857,0.275357723236084,1.6773285415388899
20,mid,esb,arange,tables_blosc_lz4,1,0.04537812868754069,0.0069704850514729815,0.018223126729329426,34.31024553688289
21,mid,ephemeral,poisson,tables_blosc_snappy,1,0.05077068010965983,0.007898966471354166,0.02022385597229004,6.241508948788217
22,mid,esb,neuronal,tables_blosc_lz4,3,0.11761935551961263,0.008935769399007162,0.030834436416625977,1.587960422141212
23,small,ephemeral,linspace,tables_blosc_blosclz,7,0.02878284454345703,0.0018906116485595704,0.006049013137817383,12.734864402045204
24,large,ephemeral,bitcoin,zfile,7,5.923474868138631,0.6203906536102295,0.7353793780008951,2.621955804255592
25,mid,ephemeral,bitcoin,npz,1,0.46175575256347656,0.05144691467285156,0.06339605649312337,3.3838786087248365
26,large,esb,arange,tables_blosc_zlib,9,0.6118040084838867,0.3328711191813151,0.3408675193786621,224.79922821309893
27,large,esb,bitcoin,tables_zlib,3,4.361640294392903,0.7235190868377686,0.8257975578308105,1.5769044470730798
28,large,ephemeral,bitcoin,zfile,5,3.692340850830078,0.627565066019694,0.7454851468404134,2.5969033534328414
